SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
PIRPHYTO, BE, 17-May-2018, 43.00, 41.00, 41.00, 41.00, 41.00, 41.00, 41.00, 10, 0.00, 1, -, -
PITTILAM, EQ, 17-May-2018, 99.35, 100.10, 104.00, 97.60, 97.75, 98.20, 100.63, 141957, 142.85, 1905, 65124, 45.88
PKTEA, BE, 17-May-2018, 260.60, 255.00, 265.00, 247.60, 249.90, 253.40, 250.62, 1878, 4.71, 75, -, -
PLASTIBLEN, EQ, 17-May-2018, 191.55, 194.95, 195.00, 185.35, 194.40, 192.95, 190.87, 4150, 7.92, 148, 3078, 74.17
PNB, EQ, 17-May-2018, 75.60, 76.00, 77.00, 74.40, 76.55, 76.45, 75.68, 37034469, 28027.61, 98073, 3706849, 10.01
PNBGILTS, EQ, 17-May-2018, 33.70, 33.70, 34.30, 33.30, 33.50, 33.40, 33.67, 167679, 56.46, 1385, 42450, 25.32
PNBHOUSING, EQ, 17-May-2018, 1274.35, 1276.05, 1286.60, 1264.00, 1269.95, 1274.50, 1276.20, 106600, 1360.43, 8151, 69715, 65.40
PNC, EQ, 17-May-2018, 16.25, 17.65, 17.65, 15.60, 16.45, 16.45, 16.16, 654, 0.11, 19, 425, 64.98
PNCINFRA, EQ, 17-May-2018, 172.90, 172.90, 174.70, 169.80, 170.35, 171.15, 171.25, 258314, 442.35, 1409, 235416, 91.14
POCHIRAJU, EQ, 17-May-2018, 4.25, 4.40, 4.45, 4.10, 4.45, 4.35, 4.23, 2318, 0.10, 21, 1923, 82.96
PODDARHOUS, EQ, 17-May-2018, 995.00, 1036.70, 1036.70, 1010.00, 1011.00, 1016.50, 1018.38, 554, 5.64, 38, 486, 87.73
