SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
KWALITY, EQ, 22-May-2018, 45.60, 45.40, 46.40, 45.05, 45.65, 45.90, 45.87, 1074740, 492.97, 8345, 526213, 48.96
L&TFH, EQ, 22-May-2018, 166.95, 165.00, 168.20, 162.80, 166.15, 166.00, 166.07, 3565355, 5920.93, 21399, 1515370, 42.50
L&TFINANCE, N4, 22-May-2018, 1047.68, 1050.55, 1060.00, 1042.00, 1050.00, 1048.26, 1045.97, 1950, 20.40, 34, 1150, 58.97
L&TINFRA, N1, 22-May-2018, 1042.00, 951.10, 998.00, 951.10, 998.00, 998.00, 994.82, 43, 0.43, 4, 43, 100.00
L&TINFRA, N2, 22-May-2018, 1690.00, 1739.99, 1739.99, 1692.00, 1692.00, 1692.00, 1709.00, 30, 0.51, 3, 20, 66.67
L&TINFRA, N4, 22-May-2018, 1665.01, 1666.00, 1674.00, 1663.00, 1663.00, 1663.00, 1665.92, 269, 4.48, 11, 241, 89.59
L&TINFRA, N5, 22-May-2018, 990.00, 991.00, 994.00, 991.00, 994.00, 994.00, 993.25, 12, 0.12, 4, 12, 100.00
L&TINFRA, N6, 22-May-2018, 1727.08, 1727.95, 1730.00, 1727.95, 1730.00, 1730.00, 1729.63, 217, 3.75, 14, 217, 100.00
LAKPRE, EQ, 22-May-2018, 27.00, 26.00, 28.90, 25.70, 27.95, 27.05, 26.91, 1918, 0.52, 60, 1302, 67.88
LAKSHMIEFL, EQ, 22-May-2018, 12.90, 13.00, 14.15, 12.70, 14.15, 13.95, 13.54, 165098, 22.35, 487, 94720, 57.37
LAKSHVILAS, EQ, 22-May-2018, 95.25, 93.70, 95.00, 93.40, 93.45, 93.95, 93.92, 360752, 338.84, 1524, 74405, 20.62
LALPATHLAB, EQ, 22-May-2018, 890.25, 897.00, 899.00, 865.10, 869.00, 874.90, 879.39, 66690, 586.46, 7965, 27797, 41.68
LAMBODHARA, EQ, 22-May-2018, 64.50, 64.50, 70.00, 62.15, 64.75, 64.40, 65.50, 70872, 46.42, 1344, 20483, 28.90
LAOPALA, EQ, 22-May-2018, 268.60, 268.65, 279.00, 263.00, 275.00, 274.50, 270.35, 18116, 48.98, 1193, 11500, 63.48
LASA, EQ, 22-May-2018, 70.65, 69.80, 69.90, 67.15, 67.15, 67.25, 67.70, 112168, 75.94, 796, 53379, 47.59
LAURUSLABS, EQ, 22-May-2018, 444.35, 445.00, 454.90, 442.00, 454.90, 448.75, 447.47, 31393, 140.48, 2245, 23068, 73.48
LAXMIMACH, EQ, 22-May-2018, 8424.80, 8410.00, 8500.00, 8300.05, 8420.05, 8440.45, 8427.31, 7518, 633.57, 1871, 3809, 50.67
LEEL, EQ, 22-May-2018, 193.05, 195.00, 195.00, 186.80, 188.10, 188.00, 189.71, 86247, 163.62, 1424, 57323, 66.46
LEMONTREE, EQ, 22-May-2018, 63.05, 62.95, 68.00, 62.55, 66.30, 66.35, 65.72, 1436399, 944.07, 8678, 421167, 29.32
LEXUS, SM, 22-May-2018, 79.35, 78.00, 80.00, 77.00, 80.00, 80.00, 78.65, 4000, 3.15, 4, 3000, 75.00
LFIC, BE, 22-May-2018, 85.05, 85.20, 85.20, 83.00, 83.00, 83.05, 84.03, 885, 0.74, 15, -, -
LGBBROSLTD, EQ, 22-May-2018, 1233.30, 1256.40, 1256.40, 1204.00, 1239.00, 1231.35, 1231.00, 4401, 54.18, 576, 3143, 71.42
LIBERTSHOE, EQ, 22-May-2018, 191.50, 191.95, 193.00, 188.60, 190.30, 189.55, 190.33, 18991, 36.15, 653, 7728, 40.69
LICHSGFIN, EQ, 22-May-2018, 474.60, 474.60, 485.60, 473.00, 481.30, 481.25, 480.76, 913898, 4393.68, 34947, 394584, 43.18
LICNETFGSC, EQ, 22-May-2018, 16.65, 16.65, 16.65, 15.81, 15.81, 15.81, 16.10, 153, 0.02, 5, 150, 98.04
LICNETFN50, EQ, 22-May-2018, 109.25, 108.75, 109.05, 108.75, 108.75, 108.75, 108.79, 7, 0.01, 3, 7, 100.00
LICNFNHGP, EQ, 22-May-2018, 110.30, 110.30, 110.30, 110.30, 110.30, 110.30, 110.30, 7, 0.01, 1, 7, 100.00
LINCOLN, EQ, 22-May-2018, 214.40, 212.60, 217.45, 210.35, 213.50, 212.80, 214.71, 4673, 10.03, 189, 1982, 42.41
LINCPEN, EQ, 22-May-2018, 350.60, 350.85, 350.85, 336.75, 342.50, 342.65, 343.53, 8353, 28.70, 282, 6090, 72.91
LINDEINDIA, EQ, 22-May-2018, 421.80, 423.00, 430.00, 419.05, 420.00, 420.20, 422.85, 14702, 62.17, 1099, 10868, 73.92
LIQUIDBEES, EQ, 22-May-2018, 1000.00, 999.95, 1000.01, 998.65, 999.99, 999.99, 1000.00, 940909, 9409.07, 2979, 722463, 76.78
LIQUIDETF, EQ, 22-May-2018, 1000.01, 1000.01, 1000.01, 999.99, 1000.01, 1000.01, 1000.00, 153, 1.53, 3, 67, 43.79
LITL, EQ, 22-May-2018, 0.70, 0.70, 0.75, 0.70, 0.75, 0.70, 0.72, 2760119, 19.84, 339, 1704892, 61.77
LOKESHMACH, EQ, 22-May-2018, 66.65, 66.00, 67.35, 66.00, 67.10, 66.90, 66.96, 7105, 4.76, 112, 5811, 81.79
LOTUSEYE, EQ, 22-May-2018, 28.60, 28.50, 29.50, 28.50, 29.00, 29.00, 29.23, 6322, 1.85, 22, 6022, 95.25
LOVABLE, EQ, 22-May-2018, 154.40, 154.05, 154.45, 151.00, 151.25, 151.50, 152.31, 25797, 39.29, 656, 19120, 74.12
LPDC, EQ, 22-May-2018, 3.60, 3.50, 3.65, 3.45, 3.60, 3.45, 3.56, 11784, 0.42, 29, 10365, 87.96
LSIL, BE, 22-May-2018, 1.15, 1.15, 1.15, 1.10, 1.10, 1.15, 1.11, 355660, 3.95, 165, -, -
LT, EQ, 22-May-2018, 1313.25, 1317.90, 1340.90, 1316.10, 1320.50, 1320.15, 1327.72, 1375132, 18257.96, 61911, 609393, 44.32
LTI, EQ, 22-May-2018, 1528.10, 1533.50, 1541.90, 1501.60, 1510.00, 1508.55, 1516.21, 41543, 629.88, 3026, 17462, 42.03
LTTS, EQ, 22-May-2018, 1291.85, 1304.00, 1306.00, 1265.55, 1272.00, 1273.45, 1287.12, 30345, 390.58, 3012, 14846, 48.92
LUMAXIND, EQ, 22-May-2018, 2233.40, 2222.40, 2268.00, 2222.40, 2250.00, 2243.85, 2247.86, 756, 16.99, 133, 425, 56.22
LUMAXTECH, EQ, 22-May-2018, 779.15, 779.85, 825.90, 779.85, 799.55, 796.30, 790.71, 2611, 20.65, 192, 1114, 42.67
LUPIN, EQ, 22-May-2018, 736.25, 735.00, 745.45, 725.20, 743.00, 740.10, 734.73, 1078032, 7920.63, 49949, 378599, 35.12
LUXIND, EQ, 22-May-2018, 1989.80, 1987.40, 2010.00, 1963.70, 1995.00, 1999.10, 1983.28, 89999, 1784.93, 5223, 39444, 43.83
LYCOS, EQ, 22-May-2018, 5.50, 5.35, 5.65, 5.25, 5.50, 5.45, 5.32, 1105914, 58.82, 634, 760699, 68.78
LYKALABS, EQ, 22-May-2018, 38.95, 39.45, 39.45, 36.10, 37.35, 37.50, 37.38, 39361, 14.71, 387, 25656, 65.18
LYPSAGEMS, EQ, 22-May-2018, 20.50, 20.90, 21.00, 20.05, 20.30, 20.35, 20.46, 102729, 21.02, 349, 45095, 43.90
M&M, EQ, 22-May-2018, 825.95, 822.20, 837.00, 812.25, 830.00, 830.20, 826.39, 1937535, 16011.51, 74497, 1041331, 53.75
M&MFIN, EQ, 22-May-2018, 460.40, 462.30, 471.15, 456.05, 469.90, 468.50, 467.17, 670701, 3133.33, 28083, 308414, 45.98
M100, EQ, 22-May-2018, 20.35, 20.50, 20.50, 20.15, 20.34, 20.34, 20.39, 11460, 2.34, 107, 8408, 73.37
M50, EQ, 22-May-2018, 100.17, 101.00, 101.85, 101.00, 101.85, 101.75, 101.63, 1645, 1.67, 46, 1387, 84.32
MAANALU, EQ, 22-May-2018, 130.80, 127.55, 131.50, 127.50, 129.50, 130.05, 129.95, 6325, 8.22, 266, 3362, 53.15
MACPOWER, SM, 22-May-2018, 258.05, 257.90, 257.90, 251.00, 254.90, 252.05, 252.64, 10000, 25.26, 10, 4000, 40.00
MADHAV, EQ, 22-May-2018, 50.05, 50.10, 50.95, 48.50, 48.50, 48.95, 49.73, 6723, 3.34, 99, 5573, 82.89
MADHUCON, EQ, 22-May-2018, 16.60, 16.95, 16.95, 16.10, 16.40, 16.40, 16.56, 118376, 19.60, 493, 71834, 60.68
MADRASFERT, EQ, 22-May-2018, 28.35, 28.05, 28.50, 27.40, 27.85, 27.75, 27.83, 108754, 30.27, 567, 48471, 44.57
MAGADSUGAR, EQ, 22-May-2018, 96.25, 97.00, 102.00, 92.05, 102.00, 100.65, 99.61, 37809, 37.66, 358, 31077, 82.19
MAGMA, EQ, 22-May-2018, 180.60, 183.00, 193.90, 180.00, 192.10, 190.75, 188.82, 609380, 1150.61, 14846, 263490, 43.24
MAGNUM, EQ, 22-May-2018, 7.60, 7.35, 7.80, 7.25, 7.55, 7.70, 7.49, 31105, 2.33, 97, 26938, 86.60
MAHABANK, EQ, 22-May-2018, 13.50, 13.55, 13.60, 13.30, 13.35, 13.40, 13.40, 311674, 41.76, 694, 122866, 39.42
MAHAPEXLTD, BE, 22-May-2018, 177.05, 182.95, 182.95, 172.55, 175.00, 175.00, 177.06, 1729, 3.06, 19, -, -
MAHASTEEL, EQ, 22-May-2018, 70.20, 69.25, 69.65, 66.25, 68.00, 67.90, 67.83, 43441, 29.46, 716, 20924, 48.17
